Dates,Mean,Mean_corrected,Seuil1,Seuil2,Seuil3,Seuil4
2025-10-25,98.541,,210.0,370.0,500.0,600.0
2025-10-26,88.536,,210.0,370.0,500.0,600.0
2025-10-27,80.283,,210.0,370.0,500.0,600.0
2025-10-28,73.302,,210.0,370.0,500.0,600.0
2025-10-29,67.865,67.865,210.0,370.0,500.0,600.0
2025-10-30,,90.10800000000002,210.0,370.0,500.0,600.0
2025-10-31,,85.83900000000001,210.0,370.0,500.0,600.0
2025-11-01,,82.369,210.0,370.0,500.0,600.0
2025-11-02,,79.34599999999998,210.0,370.0,500.0,600.0
2025-11-03,,76.60099999999998,210.0,370.0,500.0,600.0
2025-11-04,,74.77599999999998,210.0,370.0,500.0,600.0
2025-11-05,,73.44999999999999,210.0,370.0,500.0,600.0
2025-11-06,,71.844,210.0,370.0,500.0,600.0
2025-11-07,,70.49599999999998,210.0,370.0,500.0,600.0
2025-11-08,,69.887,210.0,370.0,500.0,600.0
2025-11-09,,69.386,210.0,370.0,500.0,600.0
2025-11-10,,68.40199999999999,210.0,370.0,500.0,600.0
2025-11-11,,67.06099999999998,210.0,370.0,500.0,600.0
2025-11-12,,65.39899999999999,210.0,370.0,500.0,600.0
